name,rating,total_reviews,price,buyers
Restaurantware Indo 9.3 x 9.3 Inch Square Palm Plates 100 Microwavable Palm Leaf Dinner Plates - Freezable Sustainable Areca Palm Leaf Plates Oven-Ready For Hot & Cold Foods,4.4,15,80,N/A
"Animal Dessert Paper Plates Birthday Party Decorations,Jungle Theme Party Supplies Include Plates, Napkin and Cutlery,Perfect for Themed Events,Disposable Dishes for Kids Eco Choice",5.0,1,17,N/A
"16 OZ Paper Bowls, Premium Disposable Bowls - Sturdy and Eco-Friendly Party Bowls, Heavy Duty Biodegradable Bamboo Dinner Bowls I Biodegradable Unbleached Sugarcane Eco Bowls - 125 PCs",4.5,2,22,N/A
"Dart OFMP6J7234 Bare Paper Eco-Forward Dinnerware, 6"" Plate, Green/Tan (Case of 500)",N/A,N/A,76,N/A
"Pale Pink Value Round Paper Plates - 9"" (Pack Of 16) - Durable & Eco-Friendly Disposable Party Plates",1.0,1,6,N/A
"PACKNWOOD 210BCHIC90180 Heavy-Duty Biodegradable Sugarcane Plates - Disposable Rectangular Plates - Microwavable - Oven Safe - Biodegradable, and compostable Plate - 3.5 x 7.1in - 100 pcs",3.2,3,24,N/A
"CaterEco Rectangle Palm Leaf Plates Set (Pack of 150)|Ecofriendly Disposable Dinnerware | Heavy Duty Biodegradable Party Utensils for Wedding, Camping & More",4.5,2,84,N/A
"Dtocs Palm Leaf Plates 5x8 Inch Rectangle (Pack 100) | Organic, Eco-Friendly, Biodegradable, Compostable Disposable Dinnerware Set For Wedding, Camping, Birthday Party- Natural Bamboo, Wooden Texture",N/A,N/A,47,N/A
"Disposable Palm Leaf 6""x5"" Rectangle Deep Plates (25 pcs) | Wooden Bamboo Plates | Compostable Plates for Parties, Wedding Party | Alternative to Plastic & Paper Plates",4.5,59,18,N/A
"Dtocs Palm Leaf Plates 7 Inch Round (50) | Bamboo Plates Disposable Look Cocktail Plates for Appetizer, Dessert Plates, Mini Charcuterie Boards | Compostable Plates Alternate to Wooden Paper Plates",4.4,2,49,N/A
"200 Pack of 7x5"" Oval Disposable Palm Leaf Plates Set - Sturdy & Elegant - Camping Party Home Use - Biodegradable & Compostable - by Eko Future",4.4,259,117,N/A
"Deluxe Round Pure Palm Leaf Plates Set | (Pack of 25) 7"" Salad Plates | Ecofriendly Disposable Dinnerware | Heavy Duty Biodegradable Party Utensils for Wedding, Camping & More",4.1,21,33,N/A
"9 Inch Disposable Bamboo Paper Plates - 100 Pack Heavy Duty, Biodegradable, Compostable Large Serving Plate for Dinner, Party - Bulk Pack with Microwavable, White",N/A,N/A,18,N/A
"Repurpose, 9"" Eco-Dinner Plates, 20 Count",4.4,396,4,100+
"Efavormart 50 Pcs Marble/Gold Dinner & Dessert/Appetizer Paper Plate Pack, Disposable Plates - 25 Guest Set",3.9,6,9,N/A
"PacknWood 210BCHICDROP Paper plates with compartments -eco friendly paper plates,oval disposable plates - Drop Shaped White Sugarcane Dish (0.5 oz, 4.1"" x 1.9"") - 300 pcs",5.0,2,68,N/A
"Ecoplates 6-Inch Compostable Paper Plates -Bulk [Count 1000], Made from Sugarcane Fiber 100% Biodegradable,Dessert Plates-Heavy Duty-Eco Friendly-[ Case 20/50 Pack Each ] Bagasse Disposable Plates.",N/A,N/A,52,N/A
SOLO Cup Company OFMP9J7234 Bare Paper Eco-Forward Dinnerware 8 1/2-Inch Plate Green/Tan 250/Carton,1.0,1,9,N/A
JAM PAPER Round Paper Party Plates - Small - 7 Inch - White - 50/pack,4.4,48,11,N/A
"The Palms Bamboo Palm Leaf Plates, 25 Count, 10 Inch Square for Appetizers, Birthday Cake, BBQ, Dinner or Camping, Rustic Natural Dishware, Biodegradable Compostable",4.8,17,29,N/A
Restaurantware Pulp Tek 7.9 Inch Eco-Friendly Plates 100 Medium Plates - Made From Natural Sugarcane Fibers Heavy-Duty White Bagasse Premium Plates For Appetizers Entrees Or Desserts Square,4.2,33,55,N/A
"100% Compostable Square Paper Plates, Disposable Paper Plates 8 inch for Party (500 Count), Heavy Duty Paper Dinner Plates, Dessert Plates, Made from Sugarcane ＆ Bamboo Fibers",4.8,23,74,N/A
"Dtocs Palm Leaf Plate Set (100 Pcs) Oval Plates 7x5 Inch | Disposable Bamboo Plate Like Compostable Dinnerware Set Sturdy Than Paper Plates | Designer Plates for Serving Dessert, Cake, Salad",5.0,4,55,N/A
"10-Inch Compostable 3-Compartment Paper Plates | Heavy Duty Biodegradable Bagasse Lunch Trays | PFAS Free, BPA Certified, Disposable Sectional Trays (100)",5.0,1,18,N/A
"Emerald 100% Tree Free Sugarcane Heavy Duty Plate, 9 Inches, 300 Count",3.5,17,37,N/A
"By The Sea Dessert Paper Plates Disposable ECO Party Tableware, Round, 7"", Pack of 8.",2.0,1,8,N/A
"Dart Bare Paper Eco-Forward Dinnerware, 8 1/2"" Plate, Green/tan, 250/carton",N/A,N/A,51,N/A
"ECO PRODUCTS Compostable 10"" Oval Paper Plates, Case of 500, Disposable White Molded Fiber, Tree-Free, Stronger Than Paper & Styrofoam, Renewable Molded Natural Fibers",N/A,N/A,24,N/A
"Dart Bare Eco-Forward Clay-Coated Paper Dinnerware, Plate, 8 1/2"" dia, 500/Carton",5.0,1,105,N/A
"Yamato Bussan Disposable Tableware, White, 7.1 inches (18 cm), Eco Paper Plate, Pack of 10",N/A,N/A,14,N/A
SOLO Cup Company OFMP6J7234 Bare Paper Eco-Forward Dinnerware 6-Inch Plate Green/Tan 500/Carton,N/A,N/A,102,N/A
"Dart Bare Eco-Forward Clay-Coated Paper Dinnerware, Plate, 9"" Diameter, White",N/A,N/A,81,N/A
"Solo Cup Bare Eco-Forward Clay-Coated Paper Plate, 9"", White, Round,",N/A,N/A,82,N/A
"SCCHP9S - Solo Bare Eco-Forward Clay-Coated Paper Dinnerware, Plate, 9amp;quot; Diameter, White",N/A,N/A,87,N/A
"Dart OFMP9R-J7234 Bare Paper Eco-forward Dinnerware, 8 1/2 Plate, Green/tan, 250/carton",N/A,N/A,65,N/A
ECO Cardboard Paper Plates Diameter 18 cm Pack of 10 Made from 100% Biodegradable raw Materials Printed with Water-Based Inks Subtle Patterns for Little Ones.,5.0,3,14,N/A
Ginger Ray Natural Marble Eco Paper Party Plates - 8 Pack,5.0,1,14,N/A
"SOLIA VO57022 Au Gratin Dishes, Disposable Tableware, 1.7 fl oz (50 ml), Paper Plates, Eco Material, Pulp, French Cuisine",N/A,N/A,21,N/A
"ECO PRODUCTS Compostable Disposable Paper Plates, 10"" Round Eco-Friendly Molded Fiber Plates, Grease & Cut Resistant, White, Pack of 50",N/A,N/A,25,N/A
"300 Pieces 100% Compostable Paper Plates (White 7inch+9inch) Heavy Duty Disposable Plates Eco Plates Made of Sugarcane Fiber Biodegradable Plates for Everyday Dinner, Party, Barbecue",N/A,N/A,,N/A
"300 Pieces 100% Compostable Paper Plates (White 150pieces7inch+150piece10inch) Heavy Duty Disposable Plates Eco Plates Made of Sugarcane Fiber Biodegradable Plates for Everyday Dinner, Party, Barbecue",N/A,N/A,,N/A
"300 Pieces 100% Compostable Paper Plates (White 150pieces10inch+150piece10inch) Heavy Duty Disposable Plates Eco Plates Made of Sugarcane Fiber Biodegradable Plates for Everyday Dinner, Party, Barbecu",N/A,N/A,,N/A
Ginger Ray Eco Paper Party Colourful Rainbow Paper Happy Birthday Plates - Pack of 8,N/A,N/A,11,N/A
"Disposable Dishes Plates Natural Biodegradable Plates, dinnerware,Party|100% Biodegradable_Eco Friendly_12 Inch Paper Dinner Plates_Pack of 50_Natural Paper Plates",N/A,N/A,23,N/A
"Disposable Dishes Plates Natural Biodegradable Plates, dinnerware,Party|100% Biodegradable_Eco Friendly_12 Inch Paper Dinner Plates_Pack of 50_Natural Paper Plates",N/A,N/A,23,N/A
"Disposable Dishes Plates Natural Biodegradable Plates, dinnerware,Party|100% Biodegradable_Eco Friendly_12 Inch Paper Dinner Plates_Pack of 50_Natural Paper Plates",N/A,N/A,32,N/A
"Shinwa EC-501 Eco Cook Round Plate, 7.1 inches (18 cm), Set of 8, White",N/A,N/A,0,N/A
"Bare Eco-Forward Clay-Coated Paper Dinnerware, Bowl, 12oz, 125/bag, 8/ct",N/A,N/A,43,N/A
Chic Leaf Palm Leaf Plates Disposable Bamboo Plates Like 10 Inch Square (50 Pc) - 100% Compostable Plates Perfect For Wedding and Party Entrees - Better than Plastic and Paper Plates,4.6,1296,37,200+
Chic Leaf 100% Compostable Disposable Palm Leaf Plates 6 Inch Like Bamboo Plates Round (50 pc) - Premium Appetizer Plates for Wedding and Party Events - Sturdy Eco Friendly Disposable Plates,4.3,72,28,N/A
"ECO SOUL 100% Compostable 10 Inch Paper Plates [100-Pack] Disposable Party Plates I Heavy Duty Eco-Friendly Sturdy Dinner, Wedding, Event Plates I Biodegradable Unbleached Sugarcane Eco Plates",4.6,1901,23,700+
"Chic Leaf Palm Leaf Disposable Plates - Square Bamboo Plates 100 Pack 10"" and 7"" - Compostable & Biodegradable, Better than Plastic Plates - Heavy-Duty Dinnerware set for Parties, Weddings, Appetizers",4.5,2112,50,700+
